,label,entities,agents,activities,nodes,edges,diameter,assortativity,acc,acc_e,acc_a,acc_ag,mfd_e_e,mfd_e_a,mfd_e_ag,mfd_a_e,mfd_a_a,mfd_a_ag,mfd_ag_e,mfd_ag_a,mfd_ag_ag,mfd_der,powerlaw_alpha
21,requests,1137,0,82,1219,1975,70,0.26946088094742754,0.37967750903530717,0.0993403421974851,0.9600938967136149,0,114,69,0,101,69,0,0,0,0,126,-1.0
20,commissives,1157,0,84,1241,2019,71,0.2659862846874897,0.3797619047619048,0.09867549668874176,0.9611872146118721,0,116,71,0,103,71,0,0,0,0,128,-1.0
23,assertives,1107,0,81,1188,1933,68,0.2623917568813955,0.37947850599013383,0.09945663531870433,0.9595238095238093,0,111,69,0,98,69,0,0,0,0,121,-1.0
25,instruction,1070,0,79,1149,1872,66,0.2581158046550529,0.37906336088154263,0.09969911884805506,0.9583333333333331,0,107,64,0,94,64,0,0,0,0,119,3.976539276751082
24,instruction,1088,0,79,1167,1890,67,0.2664236455420978,0.37906336088154263,0.09969911884805506,0.9583333333333331,0,109,64,0,96,64,0,0,0,0,121,-1.0
27,assertives,1035,0,76,1111,1801,64,0.2612549586931593,0.379060606060606,0.10107744107744113,0.9564102564102562,0,104,62,0,94,62,0,0,0,0,117,-1.0
26,requests,1055,0,78,1133,1845,64,0.2575599475642281,0.3788467196234186,0.09982559407019843,0.9577114427860695,0,106,63,0,94,63,0,0,0,0,118,3.9745387069788882
29,assertives,1000,0,75,1075,1754,62,0.2507725074555575,0.3791724350099985,0.10173160173160178,0.9557291666666665,0,100,60,0,94,60,0,0,0,0,113,3.9821219935820613
28,assertives,1019,0,76,1095,1785,63,0.2534406152338807,0.379060606060606,0.10107744107744113,0.9564102564102562,0,102,62,0,94,62,0,0,0,0,115,3.979513592508057
14,assertives,1279,0,96,1375,2238,77,0.2513565095990255,0.37729696969697,0.09955173032096111,0.9567901234567902,0,127,75,0,119,75,0,0,0,0,144,3.969604819365562
15,assertives,1261,0,95,1356,2208,77,0.24967948783781377,0.37709483498957186,0.09965523498457637,0.95625,0,126,75,0,117,75,0,0,0,0,142,3.967846995216682
16,instruction,1232,0,90,1322,2148,75,0.268008314336054,0.3795580808080809,0.10037411148522264,0.9594017094017095,0,124,73,0,112,73,0,0,0,0,137,-1.0
17,requests,1214,0,89,1303,2118,74,0.26638880904597745,0.37937603886970983,0.10049242424242426,0.958874458874459,0,122,73,0,110,73,0,0,0,0,135,-1.0
10,requests,1340,0,100,1440,2347,81,0.25361980945133644,0.37704140643071965,0.09765451121383328,0.9588235294117647,0,133,80,0,125,80,0,0,0,0,149,3.9622848165818247
11,instruction,1327,0,99,1426,2322,80,0.25391556432474344,0.37710307710307744,0.09811255411255414,0.9583333333333334,0,132,78,0,124,78,0,0,0,0,149,3.9640474721211176
12,commissives,1309,0,98,1407,2292,78,0.2523165318163709,0.3769057765151518,0.09819583114380805,0.9578313253012049,0,130,77,0,122,77,0,0,0,0,147,3.9622868447643347
13,requests,1291,0,97,1388,2262,77,0.2506794645986056,0.3769673014732306,0.09867091972355131,0.9573170731707317,0,128,77,0,120,77,0,0,0,0,145,3.9640936203233803
18,instruction,1193,0,87,1280,2073,74,0.26927644697198766,0.37957497048406147,0.10159285159285161,0.957777777777778,0,120,71,0,108,71,0,0,0,0,133,-1.0
19,instruction,1178,0,87,1265,2058,74,0.2630184429080355,0.37957497048406136,0.10159285159285161,0.957777777777778,0,118,71,0,106,71,0,0,0,0,131,3.9830060442966517
74,requests,206,0,12,218,348,16,0.2515842262243101,0.39208754208754215,0.08813131313131313,1.0,0,22,19,0,18,18,0,0,0,0,23,-1.0
75,requests,189,0,11,200,319,16,0.24117300354926108,0.3939393939393939,0.09090909090909091,1.0,0,20,19,0,17,18,0,0,0,0,21,-1.0
72,assertives,232,0,14,246,398,18,0.24813280914836516,0.39076479076479087,0.08614718614718615,1.0,0,25,19,0,20,18,0,0,0,0,26,-1.0
73,requests,219,0,13,232,373,17,0.24977337412205902,0.3922299922299923,0.08834498834498834,1.0,0,24,19,0,19,18,0,0,0,0,25,-1.0
70,instruction,267,0,16,283,457,21,0.26595637113293097,0.3911616161616162,0.08674242424242423,1.0,0,29,19,0,23,19,0,0,0,0,30,-1.0
71,requests,247,0,15,262,425,19,0.25163034195174755,0.39097643097643103,0.08646464646464645,1.0,0,27,19,0,21,19,0,0,0,0,28,-1.0
6,assertives,1409,0,104,1513,2464,85,0.25858368963202194,0.37729484627294874,0.09664209664209672,0.9606741573033709,0,140,84,0,127,84,0,0,0,0,157,-1.0
7,instruction,1392,0,103,1495,2435,84,0.25747076614321596,0.377356591747736,0.0970690511674119,0.9602272727272727,0,138,82,0,127,82,0,0,0,0,155,-1.0
5,instruction,1437,0,109,1546,2516,88,0.25412268615570144,0.37693779904306246,0.1015230020411369,0.9547101449275364,0,143,84,0,127,84,0,0,0,0,159,3.963523498012001
8,requests,1375,0,102,1477,2406,82,0.2563351557007407,0.3771709633649935,0.09713711702661985,0.9597701149425287,0,136,81,0,127,81,0,0,0,0,154,-1.0
9,requests,1356,0,101,1457,2375,81,0.2544393316829395,0.376981132075472,0.09720670391061458,0.9593023255813954,0,134,80,0,125,80,0,0,0,0,152,3.9605643700399082
69,instruction,281,0,16,297,471,22,0.2939933968920923,0.3911616161616162,0.08674242424242423,1.0,0,30,19,0,25,19,0,0,0,0,31,-1.0
68,instruction,298,0,16,314,488,24,0.3227608042289453,0.3911616161616162,0.08674242424242423,1.0,0,32,19,0,27,19,0,0,0,0,33,-1.0
65,assertives,344,0,16,360,534,28,0.3810908287227732,0.3911616161616163,0.08674242424242423,1.0,0,37,19,0,33,19,0,0,0,0,38,-1.0
64,instruction,360,0,16,376,550,30,0.3967570849571437,0.3911616161616163,0.08674242424242423,1.0,0,39,19,0,35,19,0,0,0,0,40,-1.0
66,instruction,327,0,16,343,517,27,0.36216585295761583,0.3911616161616163,0.08674242424242423,1.0,0,35,19,0,31,19,0,0,0,0,36,-1.0
61,instruction,406,0,18,424,602,35,0.4098924313389967,0.3886363636363639,0.1012121212121212,0.980392156862745,0,44,19,0,39,19,0,0,0,0,46,-1.0
60,instruction,420,0,18,438,616,35,0.41949319575223604,0.3886363636363639,0.1012121212121212,0.980392156862745,0,46,19,0,40,19,0,0,0,0,48,-1.0
62,instruction,391,0,18,409,587,33,0.3986500501022213,0.3886363636363639,0.1012121212121212,0.980392156862745,0,42,19,0,38,19,0,0,0,0,44,-1.0
52,instruction,571,0,37,608,989,39,0.2847061157579378,0.38882218410520314,0.09223218096457546,0.9904761904761906,0,58,41,0,56,41,0,0,0,0,64,-1.0
57,assertives,487,0,31,518,839,34,0.2940582204186596,0.39017649017649036,0.09572776949826141,0.9888888888888889,0,51,39,0,46,39,0,0,0,0,54,-1.0
58,requests,469,0,30,499,809,33,0.29019545025499915,0.3900482093663914,0.09589111453518243,0.9885057471264368,0,49,39,0,44,39,0,0,0,0,52,-1.0
59,instruction,432,0,18,450,628,36,0.4271185185120192,0.3886363636363639,0.1012121212121212,0.980392156862745,0,47,19,0,42,19,0,0,0,0,50,-1.0
50,assertives,603,0,39,642,1045,40,0.2876250342545571,0.3879058441558443,0.09038383838383851,0.9909909909909911,0,60,41,0,60,41,0,0,0,0,68,-1.0
51,requests,586,0,38,624,1016,40,0.28530922405375797,0.3883514039477344,0.09128268991282702,0.9907407407407409,0,58,41,0,58,41,0,0,0,0,66,-1.0
53,requests,554,0,36,590,960,37,0.2821800457141516,0.3886731391585763,0.0922705314009663,0.9901960784313727,0,57,41,0,54,41,0,0,0,0,62,-1.0
54,instruction,536,0,32,568,894,38,0.3186145814785268,0.3887112887112889,0.09354197714853463,0.9888888888888889,0,57,39,0,53,39,0,0,0,0,61,-1.0
55,instruction,521,0,32,553,879,37,0.30556538869136757,0.3887112887112889,0.09354197714853463,0.9888888888888889,0,55,39,0,51,39,0,0,0,0,59,-1.0
56,instruction,506,0,32,538,864,35,0.2913765349431895,0.3887112887112889,0.09354197714853463,0.9888888888888889,0,53,39,0,49,39,0,0,0,0,57,-1.0
46,instruction,685,0,47,732,1175,47,0.2752301371593216,0.3815814393939394,0.10088090204369285,0.9563492063492063,0,72,41,0,72,41,0,0,0,0,80,-1.0
42,assertives,768,0,57,825,1342,49,0.25553580316008917,0.3811688311688311,0.10769230769230775,0.9499999999999998,0,81,48,0,81,48,0,0,0,0,89,3.993888857384453
